Question,Option_1,Option_2,Option_3,Option_4
I feel overwhelmed by my emotions.,Strongly Disagree,Disagree,Agree,Strongly Agree
 I am able to handle the level of stress I experience.,Strongly Disagree,Disagree,Agree,Strongly Agree
"I have physical symptoms of anxiety, such as sweaty palms.",Strongly Disagree,Disagree,Agree,Strongly Agree
I have strong relationships with people I care about.,Strongly Disagree,Disagree,Agree,Strongly Agree
I feel good about the choices I've made in my life.,Strongly Disagree,Disagree,Agree,Strongly Agree
 I am self-critical and engage in negative self-talk.,Strongly Disagree,Disagree,Agree,Strongly Agree
I cannot get beyond long-past traumatic events or significant losses.,Strongly Disagree,Disagree,Agree,Strongly Agree
I am able to identify and express my emotions.,Strongly Disagree,Disagree,Agree,Strongly Agree
" I trust that if I confide in others, they will be supportive.",Strongly Disagree,Disagree,Agree,Strongly Agree
I engage in self-destructive behaviors such as drinking or drug use.,Strongly Disagree,Disagree,Agree,Strongly Agree
"When I experience a strong emotion, I usually know why it's hitting me.",Strongly Disagree,Disagree,Agree,Strongly Agree
My mood is stable.,Strongly Disagree,Disagree,Agree,Strongly Agree
I procrastinate and/or avoid dealing with important things in my life.,Strongly Disagree,Disagree,Agree,Strongly Agree
" I feel like I am not living up to my own expectations, or those of others.",Strongly Disagree,Disagree,Agree,Strongly Agree
I have a sense of purpose in life.,Strongly Disagree,Disagree,Agree,Strongly Agree
 I am lonely.,Strongly Disagree,Disagree,Agree,Strongly Agree
I get upset or angry easily.,Strongly Disagree,Disagree,Agree,Strongly Agree
 I've noticed changes in my appetite or sleep patterns relative to when I was at my best.,Strongly Disagree,Disagree,Agree,Strongly Agree
I'm able to bounce back from setbacks.,Strongly Disagree,Disagree,Agree,Strongly Agree
I manage my time and my obligations; most days life feels under control.,Strongly Disagree,Disagree,Agree,Strongly Agree
Complain of aches or pains,Strongly Disagree,Disagree,Agree,Strongly Agree
Spend more time alone,Strongly Disagree,Disagree,Agree,Strongly Agree
"Tire easily, little energy",Strongly Disagree,Disagree,Agree,Strongly Agree
"Fidgety, unable to sit still",Strongly Disagree,Disagree,Agree,Strongly Agree
Have trouble with teacher,Strongly Disagree,Disagree,Agree,Strongly Agree
Less interested in school,Strongly Disagree,Disagree,Agree,Strongly Agree
Are afraid of new situations,Strongly Disagree,Disagree,Agree,Strongly Agree
Have trouble concentrating,Strongly Disagree,Disagree,Agree,Strongly Agree
Less interested in friends,Strongly Disagree,Disagree,Agree,Strongly Agree
I have experienced breathing difficulties,Never,Rarely,sometimes,Often
I have found myself getting impatient when I have been delayed in any way,Never,Rarely,sometimes,Often
"During the past 4 weeks, how often has your mental health affected your ability to get work done?",Never,Rarely,sometimes,Often
"During the past two weeks, how often has your mental health affected your relationships?",Never,Rarely,sometimes,Often
"experiencing any symptoms of anxiety, such as excessive worry or restlessness?",Never,Rarely,sometimes,Often
"Over the past 2 weeks, how often have you felt down, depressed, or hopeless?",Never,Rarely,sometimes,Often
"Trouble falling or staying asleep, or sleeping too much",Never,Rarely,sometimes,Often
Feeling afraid as if something awful might happen,Never,Rarely,sometimes,Often
I find it difficult finishing a task or project,Never,Rarely,sometimes,Often
I find it difficult to remember appointments,Never,Rarely,sometimes,Often
"I have had stomach problems, such as feeling sick or stomach cramps",Never,Rarely,sometimes,Often
Do you often feel disconnected or detached from your surroundings?,Never,Rarely,sometimes,Often
Are you bothered by physical symptoms like headaches or muscle tension without a clear medical cause?,Never,Rarely,sometimes,Often
"Have you experienced any unexplained physical sensations, such as numbness or tingling?",Never,Rarely,sometimes,Often
Are you frequently troubled by intrusive thoughts or memories?,Never,Rarely,sometimes,Often
Do you often feel emotionally numb or unable to experience pleasure?,Never,Rarely,sometimes,Often
Are you frequently preoccupied with thoughts of death or dying?,Never,Rarely,sometimes,Often
Have you experienced a loss of interest in maintaining personal hygiene or appearance?,Never,Rarely,sometimes,Often
"Do you often feel misunderstood or like nobody really ""gets"" you?",Never,Rarely,sometimes,Often
Do you often experience feelings of paranoia or suspiciousness towards others?,Never,Rarely,sometimes,Often
Are you easily startled or prone to experiencing panic attacks?,Never,Rarely,sometimes,Often
