Question,Option_1,Option_2,Option_3,Option_4
I have difficulty sustaining attention on tasks or activities.,Strongly Disagree,Disagree,Agree,Strongly Agree
"I often make careless mistakes in schoolwork, work, or other activities.",Strongly Disagree,Disagree,Agree,Strongly Agree
I struggle to follow through on instructions or complete tasks.,Strongly Disagree,Disagree,Agree,Strongly Agree
I frequently lose or misplace items necessary for tasks or activities.,Strongly Disagree,Disagree,Agree,Strongly Agree
I am easily distracted by external stimuli or unrelated thoughts.,Strongly Disagree,Disagree,Agree,Strongly Agree
I often fidget or squirm in my seat or have difficulty sitting still.,Strongly Disagree,Disagree,Agree,Strongly Agree
I frequently interrupt or intrude on others' conversations or activities.,Strongly Disagree,Disagree,Agree,Strongly Agree
I struggle to organize tasks and activities.,Strongly Disagree,Disagree,Agree,Strongly Agree
I tend to avoid or procrastinate on tasks that require sustained mental effort.,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel restless or on the go.,Strongly Disagree,Disagree,Agree,Strongly Agree
I frequently shift from one uncompleted activity to another.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have difficulty waiting my turn in situations that require patience.,Strongly Disagree,Disagree,Agree,Strongly Agree
I tend to act impulsively without thinking about the consequences.,Strongly Disagree,Disagree,Agree,Strongly Agree
I struggle to engage in quiet leisure activities without feeling restless.,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel as if I'm driven by a motor or have excessive energy.,Strongly Disagree,Disagree,Agree,Strongly Agree
