Question,Option_1,Option_2,Option_3,Option_4
I often feel sad or hopeless.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have lost interest or pleasure in activities that I used to enjoy.,Strongly Disagree,Disagree,Agree,Strongly Agree
I struggle to concentrate or make decisions.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience changes in appetite or weight (significant increase or decrease).,Strongly Disagree,Disagree,Agree,Strongly Agree
I have trouble sleeping (insomnia) or I sleep excessively (hypersomnia).,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel fatigued or have a lack of energy.,Strongly Disagree,Disagree,Agree,Strongly Agree
I feel worthless or guilty for no apparent reason.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience irritability or restlessness.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have thoughts of death or suicide.,Strongly Disagree,Disagree,Agree,Strongly Agree
I find it difficult to enjoy social interactions or activities.,Strongly Disagree,Disagree,Agree,Strongly Agree
I feel physically and emotionally drained most of the time.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience unexplained physical pains or ailments.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have lost interest in my appearance or personal hygiene.,Strongly Disagree,Disagree,Agree,Strongly Agree
I find it hard to motivate myself to do anything.,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel like life is not worth living.,Strongly Disagree,Disagree,Agree,Strongly Agree
