Question,Option_1,Option_2,Option_3,Option_4
I have intrusive thoughts or obsessions that are distressing or unwanted.,Strongly Disagree,Disagree,Agree,Strongly Agree
I engage in repetitive behaviors or rituals to reduce anxiety caused by obsessions.,Strongly Disagree,Disagree,Agree,Strongly Agree
I spend a significant amount of time each day performing rituals or mental acts.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience distress when I'm unable to perform my rituals or compulsions.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have difficulty controlling or stopping my intrusive thoughts or compulsive behaviors.,Strongly Disagree,Disagree,Agree,Strongly Agree
I feel ashamed or embarrassed by my obsessions or compulsions.,Strongly Disagree,Disagree,Agree,Strongly Agree
I avoid situations or triggers that may worsen my obsessions or compulsions.,Strongly Disagree,Disagree,Agree,Strongly Agree
I recognize that my obsessions or compulsions are excessive or irrational.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience anxiety or distress when my environment is not organized or symmetrical.,Strongly Disagree,Disagree,Agree,Strongly Agree
I frequently check or recheck things to ensure they are done correctly.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have specific rules or orderings that I must follow to prevent harm or disaster.,Strongly Disagree,Disagree,Agree,Strongly Agree
I struggle to focus on tasks or activities due to intrusive thoughts.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience relief or decreased anxiety after performing my rituals or compulsions.,Strongly Disagree,Disagree,Agree,Strongly Agree
I feel compelled to confess or seek reassurance about my obsessions or compulsions.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience unwanted mental images or urges that are distressing.,Strongly Disagree,Disagree,Agree,Strongly Agree
