Question,Option_1,Option_2,Option_3,Option_4
I frequently experience intrusive memories or flashbacks of a traumatic event.,Strongly Disagree,Disagree,Agree,Strongly Agree
I avoid situations or activities that remind me of the traumatic event,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel on edge or hyper-alert.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have nightmares or disturbing dreams related to the traumatic event.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience intense distress or physical reactions when reminded of the traumatic event.,Strongly Disagree,Disagree,Agree,Strongly Agree
I feel detached or estranged from others,Strongly Disagree,Disagree,Agree,Strongly Agree
I have difficulty experiencing positive emotions or feeling happiness.,Strongly Disagree,Disagree,Agree,Strongly Agree
I find it hard to concentrate or focus on tasks.,Strongly Disagree,Disagree,Agree,Strongly Agree
I am easily startled or frightened.,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel irritable or have angry outbursts.,Strongly Disagree,Disagree,Agree,Strongly Agree
I blame myself or others for the traumatic event.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience memory lapses or difficulty recalling aspects of the traumatic event.,Strongly Disagree,Disagree,Agree,Strongly Agree
I feel emotionally numb or disconnected from the world around me.,Strongly Disagree,Disagree,Agree,Strongly Agree
I avoid discussing or thinking about the traumatic event.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have trouble sleeping or experience sleep disturbances.,Strongly Disagree,Disagree,Agree,Strongly Agree
